Category,Word,Romanization,Hiragana,English,POS,Role,Common_Usage,Example_Phrase,Components,word_n_components
Pronoun,彼女たち,kanojotachi,かのじょたち,they(f),PRON,personal,Formal feminine,彼女たちが来た。,彼+女+た+ち,4
Pronoun,それぞれ,sorezore,それぞれ,each,PRON,distributive,Distribution,それぞれ違う。,そ+れ+ぞ+れ,4
Pronoun,あらゆる,arayuru,あらゆる,all/every,PRON,universal,Comprehensive,あらゆる可能性,あ+ら+ゆ+る,4
Pronoun,いずれ,izure,いずれ,either/sometime,PRON,indefinite,Formal choice,いずれ分かる。,い+ず+れ,3
Verb,研究する,kenkyuusuru,けんきゅうする,research,VERB,action,Academic,科学を研究する。,研+究+す+る,4
Verb,発表する,happousuru,はっぴょうする,present/announce,VERB,action,Academic,論文を発表する。,発+表+す+る,4
Verb,検討する,kentousuru,けんとうする,examine,VERB,action,Formal,提案を検討する。,検+討+す+る,4
Verb,実施する,jisshisuru,じっしする,implement,VERB,action,Formal,計画を実施する。,実+施+す+る,4
Verb,提案する,teiansuru,ていあんする,propose,VERB,action,Business,新しい方法を提案する。,提+案+す+る,4
Verb,確認する,kakuninsuru,かくにんする,confirm,VERB,action,Business,予約を確認する。,確+認+す+る,4
Verb,説明する,setsumeisuru,せつめいする,explain,VERB,action,Communication,詳しく説明する。,説+明+す+る,4
Verb,参加する,sankasuru,さんかする,participate,VERB,action,Social,会議に参加する。,参+加+す+る,4
Verb,成功する,seikousuru,せいこうする,succeed,VERB,result,Achievement,試験に成功する。,成+功+す+る,4
Verb,失敗する,shippaisuru,しっぱいする,fail,VERB,result,Negative outcome,計画が失敗する。,失+敗+す+る,4
Verb,存在する,sonzaisuru,そんざいする,exist,VERB,state,Abstract,問題が存在する。,存+在+す+る,4
Verb,変化する,henkasuru,へんかする,change,VERB,action,Transformation,状況が変化する。,変+化+す+る,4
Verb,増加する,zoukasuru,ぞうかする,increase,VERB,action,Quantity,人口が増加する。,増+加+す+る,4
Verb,減少する,genshousuru,げんしょうする,decrease,VERB,action,Quantity,費用が減少する。,減+少+す+る,4
Verb,発生する,hasseisuru,はっせいする,occur,VERB,action,Events,事故が発生する。,発+生+す+る,4
Verb,影響する,eikousuru,えいきょうする,influence,VERB,action,Impact,結果に影響する。,影+響+す+る,4
Noun,研究,kenkyuu,けんきゅう,research,NOUN,object,Academic,研究を続ける。,研+究,2
Noun,発展,hatten,はってん,development,NOUN,object,Abstract,経済の発展,発+展,2
Noun,環境,kankyou,かんきょう,environment,NOUN,object,Abstract,環境を守る。,環+境,2
Noun,社会,shakai,しゃかい,society,NOUN,object,Abstract,社会問題,社+会,2
Noun,経済,keizai,けいざい,economy,NOUN,object,Abstract,経済成長,経+済,2
Noun,政治,seiji,せいじ,politics,NOUN,object,Abstract,政治に興味がある。,政+治,2
Noun,文化,bunka,ぶんか,culture,NOUN,object,Abstract,日本の文化,文+化,2
Noun,技術,gijutsu,ぎじゅつ,technology,NOUN,object,Abstract,最新技術,技+術,2
Noun,情報,jouhou,じょうほう,information,NOUN,object,Abstract,情報を集める。,情+報,2
Noun,関係,kankei,かんけい,relationship,NOUN,object,Abstract,良い関係,関+係,2
Noun,原因,genin,げんいん,cause,NOUN,object,Abstract,原因を調べる。,原+因,2
Noun,結果,kekka,けっか,result,NOUN,object,Abstract,良い結果,結+果,2
Noun,目的,mokuteki,もくてき,purpose,NOUN,object,Abstract,目的を達成する。,目+的,2
Noun,方法,houhou,ほうほう,method,NOUN,object,Abstract,新しい方法,方+法,2
Noun,理由,riyuu,りゆう,reason,NOUN,object,Abstract,理由を説明する。,理+由,2
Noun,可能性,kanousei,かのうせい,possibility,NOUN,object,Abstract,可能性がある。,可+能+性,3
Noun,責任,sekinin,せきにん,responsibility,NOUN,object,Abstract,責任を取る。,責+任,2
Noun,機会,kikai,きかい,opportunity,NOUN,object,Abstract,良い機会,機+会,2
Noun,状況,joukyou,じょうきょう,situation,NOUN,object,Abstract,現在の状況,状+況,2
Noun,立場,tachiba,たちば,position/standpoint,NOUN,object,Abstract,私の立場,立+場,2
Noun,影響,eikyou,えいきょう,influence,NOUN,object,Abstract,悪い影響,影+響,2
Noun,効果,kouka,こうか,effect,NOUN,object,Abstract,効果がある。,効+果,2
Adjective,重要,juuyou,じゅうよう,important,ADJ,descriptor,Formal,重要な問題,重+要,2
Adjective,必要,hitsuyou,ひつよう,necessary,ADJ,descriptor,Formal,必要な情報,必+要,2
Adjective,複雑,fukuzatsu,ふくざつ,complex,ADJ,descriptor,Formal,複雑な問題,複+雑,2
Adjective,単純,tanjun,たんじゅん,simple,ADJ,descriptor,Formal,単純な理由,単+純,2
Adjective,明確,meikaku,めいかく,clear,ADJ,descriptor,Formal,明確な説明,明+確,2
Conjunction,したがって,shitagatte,したがって,therefore,CONJ,connector,Formal,したがって結論は明確だ。,し+た+が+っ+て,5
Conjunction,一方,ippou,いっぽう,on the other hand,CONJ,connector,Formal,一方意見もある。,一+方,2
Conjunction,ただし,tadashi,ただし,however/provided,CONJ,connector,Formal,ただし条件がある。,た+だ+し,3
Conjunction,つまり,tsumari,つまり,in other words,CONJ,connector,Explanation,つまり不可能だ。,つ+ま+り,3
Conjunction,すなわち,sunawachi,すなわち,namely,CONJ,connector,Definition,すなわち成功だ。,す+な+わ+ち,4
Conjunction,さらに,sarani,さらに,furthermore,CONJ,connector,Addition,さらに問題がある。,さ+ら+に,3
Conjunction,また,mata,また,also/again,CONJ,connector,Addition,また来てください。,ま+た,2
Adverb,特に,tokuni,とくに,especially,ADV,modifier,Emphasis,特に重要だ。,特+に,2
Adverb,必ずしも,kanarazushimo,かならずしも,not necessarily,ADV,modifier,Formal,必ずしも正しくない。,必+ず+し+も,4
Adverb,基本的に,kihontekini,きほんてきに,basically,ADV,modifier,Formal,基本的に賛成だ。,基+本+的+に,4
Adverb,一般的に,ippantekini,いっぱんてきに,generally,ADV,modifier,Formal,一般的に正しい。,一+般+的+に,4
Adverb,実際に,jissaini,じっさいに,actually,ADV,modifier,Reality,実際に会った。,実+際+に,3
Adverb,非常に,hijouni,ひじょうに,extremely,ADV,modifier,Emphasis,非常に重要だ。,非+常+に,3
Adverb,完全に,kanzenni,かんぜんに,completely,ADV,modifier,Totality,完全に理解した。,完+全+に,3
